patentid,assignee_name_current
US4782346A,General Electric Co
US4782346A,Rca Corp
US4981644A,General Electric Co
US6047852A,Wadding North America Inc
US8586937B2,Ge Medical Systems Israel Ltd
US6402379B1,Coveris Technology Llc
US8358033B2,General Electric Co
US7135538B2,Sabic Global Technologies Bv
US4088801A,General Electric Co
US3665507A,Rca Licensing Corp
US4364066A,General Electric Co Plc
US4364066A,Suwa Seikosha Kk
US4364066A,Epson Corp
US6306524B1,General Electric Co
US5565628A,General Electric Co
US4730093A,General Electric Co
US6426720B1,General Electric Co
US9003319B2,General Electric Co
US4031396A,General Electric Co
US7974682B2,General Electric Co
US5902241A,General Electric Co
US4618739A,Coors Procelain Co (Coors) A Co Corp
US7735290B2,General Electric Co
US4024401A,General Electric Co
US7094031B2,General Electric Co
US7081682B2,Aggreko Llc
US4638214A,General Electric Co
US6528772B1,"Haier Us Appliance Solutions, Inc."
US9872643B2,General Electric Co
US4775641A,Intersil Corp
US4775641A,General Electric Co
US4775641A,Rca Corp
US7482083B2,General Electric Co
US3904083A,General Electric Co
US3689464A,Insulating Materials Inc
US3872355A,General Electric Co
US6071062A,Pods Enterprises Llc
US2883571A,General Electric Co
US7379799B2,General Electric Co
US8113771B2,General Electric Co
US4946307A,Astec Inc
US4946307A,Ri Properties Inc
US4946307A,Ai Enterprises Inc
US5123084A,General Electric Cgr Sa
US5123084A,Octree Corp
US4914522A,Vutek Inc A De Corp
US4914522A,Vutek Inc
US4137619A,General Electric Co
US5794911A,Milsco Manufacturing Co
US4301053A,Insulating Materials Inc
US5896736A,General Electric Co
US6635698B2,General Electric Co
US3778633A,General Electric Co
US2405069A,General Electric Co
US2240184A,General Electric Co
US2558563A,General Electric Co
US2499178A,General Electric Co
US3053340A,General Electric Co
US3456995A,General Electric Co
US3374396A,General Electric Co
US3506674A,General Electric Co
US3460748A,General Electric Co
US4097317A,Us Secretary Of Navy
US3490852A,General Electric Co
US2898437A,General Electric Co
US2858972A,General Electric Co
US2887628A,General Electric Co
US2805958A,General Electric Co
US4675154A,General Electric Co
US6139259A,General Electric Co
US8157189B2,General Electric Co
US7458777B2,General Electric Co
US7632165B2,Boe Technology Group Co Ltd
US4063907A,General Electric Co
US9731731B2,Ge Global Sourcing Llc
US6283356B1,General Electric Co
US3719524A,General Electric Co
US5423658A,General Electric Co
US7381959B2,General Electric Co
US7097357B2,Stryker European Holdings I Llc
US4081215A,General Electric Co
US5426952A,General Electric Co
US5851610A,Taghleef Industries Inc
US4297852A,General Electric Co
US8050899B2,General Electric Co
US7271894B2,General Electric Co
US4530861A,General Electric Co
US6586914B2,Ge Global Sourcing Llc
US8528343B2,Air Products And Chemicals Inc
US8905709B2,General Electric Co
US5335490A,General Electric Co
US8038619B2,General Electric Co
US3904367A,General Electric Co
US5222865A,General Electric Co
US5833141A,General Electric Co
US6215852B1,General Electric Co
US3979903A,General Electric Co
US6761667B1,Icon Health And Fitness Inc
US4764560A,Donaldson Co Inc
US7513102B2,General Electric Co
US6247594B1,Cit Lending Services Corp
US4075532A,General Electric Co
US6969196B2,Transcontinental Us Llc
US5227307A,Ischemia Technologies Inc
US6873972B1,General Electric Co
US5281669A,Sabic Innovative Plastics Ip Bv
US3892300A,General Electric Co
US8408203B2,General Electric Co
US6816842B1,General Electric Co
US6816842B1,Ge Medical Technology Services Inc
US4438625A,General Electric Switzerland Gmbh
US3833414A,General Electric Co
US8783202B1,Us Secretary Of Navy
US5578880A,General Electric Co
US4626803A,Ericsson Inc
US7319738B2,General Electric Co
US7836703B2,General Electric Co
US4023919A,General Electric Co
US5145621A,General Electric Co
US9074152B2,Air Products And Chemicals Inc
US7875347B2,General Electric Co
US6595748B2,General Electric Co
US3899267A,General Electric Co
US8355854B2,General Electric Co
US7236564B2,General Electric Co
US6689474B2,Sabic Global Technologies Bv
US7463348B2,Ge Global Sourcing Llc
US6975703B2,General Electric Co
US4694416A,General Electric Co
US8197004B2,Milsco Llc
US7597537B2,General Electric Co
US7801351B2,General Electric Co
US5333443A,General Electric Co
US7741815B2,Vital Signs Inc
US5494753A,Diamond Innovations Inc
US5494753A,Ge Superabrasives Inc
US3814017A,Rheinmetall Gmbh
US6652227B2,General Electric Technology Gmbh
US3675444A,General Electric Co
US6630527B2,Sabic Global Technologies Bv
US2826388A,General Electric Co
US4973906A,General Electric Co
US4227703A,General Electric Co
US4859921A,Regal-Beloit Electric Motors Inc
US7293462B2,General Electric Co
US5982646A,Ge Global Sourcing Llc
US5993152A,General Electric Co
US6547518B1,General Electric Co
US4333805A,Oronzio Denora Impianti Electrochimici Spa A Corp Of Italy
US4333805A,Oronzio Denora Impianti Elletrochimici Spa
US5348602A,General Electric Co
US6097829A,Boom Movement Llc
US6097829A,Dei International Inc
